Company,Address,TIF ID,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
That's Wassup Bakery and Café,2132 S Michigan,T-029,Michigan/Cermak,6/30/10,"$11,600.00 ","$5,800.00 ","new signage, convection oven, tile, hood ventilation, sinks, counters, plumbing, drywall, electrical, emergency lights, shelves"
The Marmon Grand,2230 S Michigan,T-029,Michigan/Cermak,6/18/10,"$9,150.00 ","$4,575.00 ",overhead rolling doors
All About Dance,501 W North,T-030,Near North,3/29/11,"$239,678.97 ","$150,000.00 ",complete build-out
Saluki Bar & Grill,1208 N Wells,T-030,Near North,10/6/11,"$84,100.00 ","$41,511.25 ","Tuckpointing, roof, painting"
Saluki Bar & Grill,1208 N Wells,T-030,Near North,10/12/11,"$84,100.00 ","$41,511.25 ","Tuckpointing, roof, painting"
Solo Salon PC,1065 West Madison,T-032,Near West,5/11/11,"$78,000.00 ","$39,000.00 ","Flooring, façade cleaning, insulation, ventillation system"
Body Works Health & Wellness LLC,825 W Monroe,T-032,Near West,4/8/11,"$122,680.00 ","$92,010.00 ",Complete Rehab
Mox Multisport,738 W Randolph,T-032,Near West,11/8/10,"$6,569.24 ","$3,284.62 ","basement remodel, bathrooms, lighting, signage"
Smitten Boutique LLC,1041 W Madison,T-032,Near West,11/4/10,"$6,950.00 ","$5,733.75 ",Rooftop HVAC replacement
Elizabeth Wangler,114 N Aberdeen,T-032,Near West,1/28/09,"$9,200.00 ","$6,900.00 ","Roofing,"
Elizabeth Wangler,114 N Aberdeen,T-032,Near West,12/18/08,"$15,113.00 ","$11,334.75 ",MASONRY
Concept Laboratories,1400 W Wabansia,T-034,North Branch (South),1/7/11,"$34,500.00 ","$11,465.71 ","lighting, HVAC, drop ceiling, flooring, façade, security, electrical"
Concept Laboratories,1400 W Wabansia,T-034,North Branch (South),10/19/10,"$44,447.03 ","$22,223.52 ","lighting, HVAC, drop ceiling, flooring, façade, security, electrical"
PKP Associates LTD Gabriel Enviornmental,1421 N Elston,T-034,North Branch (South),10/19/10,"$85,161.11 ","$44,007.36 ",geothermal systems
Concept Laboratories,1400 W Wabansia,T-034,North Branch (South),5/18/10,"$12,995.34 ","$6,497.67 ",lighting
Concept Laboratories,1400 W Wabansia,T-034,North Branch (South),4/8/10,"$33,629.19 ","$16,813.10 ","Paving, electical, interior renovations"
Jacques Pele,1177 N Elston,T-034,North Branch (South),3/24/10,"$611,415.13 ","$150,000.00 ","Roof, HVAC, new dock, windows, walls, concrete, interior"
PKP Associates LTD Gabriel Enviornmental,1421 N Elston,T-034,North Branch (South),12/1/09,"$80,419.56 ","$38,979.10 ",solar panel roof
Hold This Corp ,1501 N Magnolia ,T-034,North Branch (South),8/24/09,"$25,400.00 ","$12,700.00 ",Roof
1664 North Ada LLC,1664 North Ada ,T-034,North Branch (South),5/19/09,"$97,620.00 ","$48,810.00 ","Concret work, concrete pavers, carpentry, drywall"
1664 North Ada LLC,1664 North Ada ,T-034,North Branch (South),5/15/09,"$278,916.00 ","$61,782.03 ",Complete Renovation
PKP Associates LTD Gabriel Enviornmental,1421 N Elston,T-034,North Branch (South),5/11/09,"$16,930.00 ","$8,465.00 ","HVAC,"
Hold This Corp ,1501 N Magnolia ,T-034,North Branch (South),10/17/08,"$88,109.91 ","$44,054.10 ","Fencing, security system,"
Advanced Window Corp,4935 W LeMoyne,T-035,North-Cicero,2/25/10,"$235,990.55 ","$117,995.28 ","HVAC, Roof, asbestos removal, boiler"
Baja Foods LLC,636 W Root,T-043,Stockyard Annex,2/16/11,"$74,516.50 ","$37,258.25 ","paving, boiler"
Baja Foods LLC,636 W Root,T-043,Stockyard Annex,4/6/10,"$113,140.40 ","$56,570.20 ","concrete work, gate, doors, cooling system. Electrical, exhaust systems, floor, plumbing"
Wiremaster's Inc,1040-50 W 40th,T-043,Stockyard Annex,2/10/10,"$28,870.00 ","$15,607.50 ","electrical work, lighting"
Baja Foods LLC,636 W Root,T-043,Stockyard Annex,2/10/10,"$87,750.00 ","$43,875.00 ","electrical, exhaust systems, exit signs,"
ATK Foods,1143 W Lake,T-052,Kinzie Industrial Corridor,8/26/11,"$185,086.00 ","$84,623.50 ","Hallway & storage area repairs, refrigeration enhancements"
Nobert Plating Co ,340 N Ashland,T-052,Kinzie Industrial Corridor,8/5/11,"$11,818.15 ","$5,909.08 ","façade, tuck-pointing, environmental remediation,"
Stephen Garrett Photography,1366 W Lake,T-052,Kinzie Industrial Corridor,8/4/11,"$2,745.00 ","$1,372.50 ","electrical, signage, windows, lighting, security system, floors, plubming, HVAC, bathrooms, solar panels"
1756 W Lake LLC,1756 W Lake,T-052,Kinzie Industrial Corridor,7/15/11,"$32,000.00 ","$16,000.00 ","Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
1800 W Lake LLC,1800 W Lake,T-052,Kinzie Industrial Corridor,7/15/11,"$95,400.00 ","$47,700.00 ","Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building."
Ecolit,1939-59 W Fulton,T-052,Kinzie Industrial Corridor,6/24/11,"$42,900.00 ","$32,175.00 ","roof, HVAC, windows, doors, fence, roof insulation, paving, tuckpointing"
Daily Meat Supply inc,2323 W Fulton,T-052,Kinzie Industrial Corridor,6/1/11,"$1,450,000.00 ","$150,000.00 ",Full Renovation
Nobert Plating Co ,340 N Ashland,T-052,Kinzie Industrial Corridor,5/31/11,"$14,565.40 ","$7,282.70 ",
Pastorelli Food Products Inc,901 W Lake,T-052,Kinzie Industrial Corridor,4/13/11,"$318,120.00 ","$10,465.00 ","cement floor, expansion of production room"
Vita Foods Products,2222 W Lake,T-052,Kinzie Industrial Corridor,3/29/11,"$205,241.83 ","$102,620.92 ","roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer"
SN Peck Builders Inc,1647 W Fulton,T-052,Kinzie Industrial Corridor,3/29/11,"$11,268.00 ","$5,634.00 ","canopy, lintels, parapet wall, coating on roof, trimming"
Pastorelli Food Products Inc,901 W Lake,T-052,Kinzie Industrial Corridor,3/29/11,"$318,120.00 ","$139,535.00 ","cement floor, expansion of production room"
Oriental Kitchen Corp,223 N Justine,T-052,Kinzie Industrial Corridor,2/28/11,"$17,612.00 ","$8,806.00 ","redesign rooms, reallocate freexer and cooler, roofing"
Vita Foods Products,2222 W Lake,T-052,Kinzie Industrial Corridor,2/24/11,"$84,334.10 ","$47,379.09 ","roof, plumbing, cooler and freezer door replacement, HVAC equipment for cooler, walk-in freezer"
ATK Foods,1143 W Lake,T-052,Kinzie Industrial Corridor,2/7/11,"$84,398.00 ","$42,199.00 ","Hallway & storage area repairs, refrigeration enhancements"
1375 W Lake St LLC,1375 W Lake,T-052,Kinzie Industrial Corridor,11/2/10,"$900,000.00 ","$150,000.00 ",parking lot
Jos Baumgartner Co ,933-935 W Randolph,T-052,Kinzie Industrial Corridor,10/4/10,"$76,122.35 ","$33,619.03 ","storefront, overhead door,"
Nobert Plating Co ,340 N Ashland,T-052,Kinzie Industrial Corridor,9/30/10,"$38,418.07 ","$19,209.04 ","façade, tuck-pointing, environmental remediation,"
Oriental Kitchen Corp,223 N Justine,T-052,Kinzie Industrial Corridor,9/30/10,"$186,354.00 ","$93,177.00 ","redesign rooms, reallocate freexer and cooler, roofing"
Bright Electrical Supply,217 N Western,T-052,Kinzie Industrial Corridor,8/2/10,"$48,496.50 ","$24,248.25 ","fence w/motor, signage, landscaping, irrigation system, lighting, parking lot reseal"
Blasart,2219 W Grand,T-052,Kinzie Industrial Corridor,7/17/10,"$8,000.00 ","$4,000.00 ","roof,"
Blasart,2219 W Grand,T-052,Kinzie Industrial Corridor,7/13/10,"$8,000.00 ","$4,000.00 ","roof,"
Churchill Associates,350 N Ogden,T-052,Kinzie Industrial Corridor,7/10/10,"$295,164.90 ","$2,417.55 ","windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors"
A Messe & Sons ,2500 W Lake,T-052,Kinzie Industrial Corridor,6/30/10,"$30,950.00 ","$15,475.00 ","roof, tuckpointing"
Ex-Cel Corned Beef Co,1009 W Lake,T-052,Kinzie Industrial Corridor,6/11/10,"$4,940.00 ","$2,470.00 ","windows,"
ATK Foods,1143 W Lake,T-052,Kinzie Industrial Corridor,5/19/10,"$46,355.00 ","$23,177.50 ","Hallway & storage area repairs, refrigeration enhancements"
Gus Berthold Electric Co ,1900 W Carroll,T-052,Kinzie Industrial Corridor,5/14/10,"$153,885.00 ","$76,942.50 ","Roof, windows, lighting"
Gus Berthold Electric Co ,1900 W Carroll,T-052,Kinzie Industrial Corridor,5/14/10,"$135,065.00 ","$69,037.50 ","Roof, windows, lighting"
Blasart,2219 W Grand,T-052,Kinzie Industrial Corridor,4/21/10,"$8,000.00 ","$4,000.00 ",tuckpointing
Robin's Food Distribution ,1200 W Randolph,T-052,Kinzie Industrial Corridor,4/5/10,"$3,245.85 ","$1,622.93 ","roof, façade, freezer floor, ceiling and partial wall OR demolition of building and construct parking lot"
Chicago Flyhouse Inc ,2925 W Carroll,T-052,Kinzie Industrial Corridor,3/26/10,"$105,763.26 ","$52,881.63 ","iron fence, windows, roof, lighting, security"
Chicago Flyhouse Inc ,2925 W Carroll,T-052,Kinzie Industrial Corridor,3/24/10,"$20,128.00 ","$10,064.00 ","Landscaping, fencing"
Ex-Cel Corned Beef Co,1009 W Lake,T-052,Kinzie Industrial Corridor,3/23/10,"$16,411.00 ","$8,205.50 ",windows & HVAC
Harlan Gordon,1455 W Hubbard,T-052,Kinzie Industrial Corridor,2/24/10,"$184,334.20 ","$43,018.50 ","HVAC, electrical, brick work, roof, signage, lighting, basement seepage/ventilation"
Robin's Food Distribution ,1200 W Randolph,T-052,Kinzie Industrial Corridor,2/1/10,"$106,789.00 ","$50,000.00 ","HVAC roof compressors and vent repair, façade tuckpointing- repair, roof repair"
Robin's Food Distribution ,1200 W Randolph,T-052,Kinzie Industrial Corridor,2/1/10,"$91,820.78 ","$45,910.39 ","roof, façade, freezer floor, ceiling and partial wall OR demolition of building and construct parking lot"
Chicago Flyhouse Inc ,2925 W Carroll,T-052,Kinzie Industrial Corridor,1/20/10,"$58,450.00 ","$29,225.00 ",HVAC
Cougle Commission Co ,345 N Aberdeen,T-052,Kinzie Industrial Corridor,1/4/10,"$295,290.00 ","$147,645.00 ","excavation, removal of paving, sidewalks, gutters, curb, concrete work, sewers, pavement, fence, guardrail, ramo, landscaping"
Churchill Associates,350 N Ogden,T-052,Kinzie Industrial Corridor,1/4/10,"$295,164.90 ","$147,582.45 ","windows, repair mortar, brickwork, tuck-pointing, and concret spandrels, emergency exit doors"
Ex-Cel Corned Beef Co,1009 W Lake,T-052,Kinzie Industrial Corridor,12/29/09,"$4,100.00 ","$2,050.00 ",replace sewer pipe
Harlan Gordon,1455 W Hubbard,T-052,Kinzie Industrial Corridor,12/21/09,"$213,963.00 ","$106,981.50 ","HVAC, electrical, brick work, roof, signage, lighting, basement seepage/ventilation"
Goose Island Beer Co ,1800 W Fulton,T-052,Kinzie Industrial Corridor,12/4/09,"$195,811.90 ","$95,782.45 ",HVAC
Chicago Flyhouse Inc ,2925 W Carroll,T-052,Kinzie Industrial Corridor,11/13/09,"$24,072.00 ","$12,036.00 ",paving
Chicago Flyhouse Inc ,2925 W Carroll,T-052,Kinzie Industrial Corridor,10/12/09,"$23,500.00 ","$11,750.00 ",tuckpointing
Goose Island Beer Co ,1800 W Fulton,T-052,Kinzie Industrial Corridor,9/21/09,"$108,435.10 ","$54,217.55 ","Roof, tuck-pointing, ductwork"
Nobert Plating Co ,340 N Ashland,T-052,Kinzie Industrial Corridor,8/28/09,"$117,223.00 ","$58,611.50 ","Roof, tuckpointing"
General Surface Hardening Inc,2108 W Fulton,T-052,Kinzie Industrial Corridor,8/27/09,"$38,023.00 ","$19,011.50 ","lighting, façade, roof, bathrooms, concrete work, cranes, dryers,"
Fulton Market Cold Storage ,1000 W Fulton Market,T-052,Kinzie Industrial Corridor,7/24/09,"$47,875.00 ","$23,937.50 ",Masonry Repair
Universal Scrap Metals Inc,312-342 N Western,T-052,Kinzie Industrial Corridor,7/16/09,"$610,600.00 ","$150,000.00 ","HVAC, sprinkler system overhead doors, walls, tuckpointing, parking lot paving, electrical, lighting, electric fence, roof, lanscaping"
Anmar Foods ,2142 W Carroll,T-052,Kinzie Industrial Corridor,6/12/09,"$27,140.23 ","$13,570.12 ",floor
Albany Steel & Brass,1913 W Grand,T-052,Kinzie Industrial Corridor,6/12/09,"$460,000.00 ","$149,010.00 ","purchase property,"
Reliable Plating Corp ,1514-16 W Lake,T-052,Kinzie Industrial Corridor,6/5/09,"$23,733.00 ","$11,866.50 ","electrical panel, sprinklers"
Pet Care Plus Ltd ,1328 W Lake,T-052,Kinzie Industrial Corridor,5/29/09,"$24,176.00 ","$9,948.72 ","tile, kennel system, HVAC"
Design Lab Chicago ,328 N Albany,T-052,Kinzie Industrial Corridor,5/28/09,"$191,838.00 ","$86,841.70 ","roof, door"
General Surface Hardening Inc,2108 W Fulton,T-052,Kinzie Industrial Corridor,5/7/09,"$77,090.00 ","$38,545.00 ","crane, roof, HVAC dryers, concrete, plumbing, floor"
Fulton Market Cold Storage ,1000 W Fulton Market,T-052,Kinzie Industrial Corridor,3/4/09,"$20,950.00 ","$10,475.00 ",Masonry Repair
Reliable Plating Corp ,1514-16 W Lake,T-052,Kinzie Industrial Corridor,3/3/09,"$264,087.97 ","$132,043.99 ","Parking lot, security improvements, façade, energy conservation, lighting, landscape, fencing,"
Gus Berthold Electric Co ,1900 W Carroll,T-052,Kinzie Industrial Corridor,2/12/09,"$8,040.00 ","$4,020.00 ",Concrete work
Chicago Mailing Tube Co ,400 N Leavitt,T-052,Kinzie Industrial Corridor,2/12/09,"$53,269.50 ","$26,634.75 ",Energy Efficient lighting
American Soda Fountain Inc,455 N Oakley Blvd,T-052,Kinzie Industrial Corridor,1/28/09,"$2,090.00 ",$957.00 ,Plumbing & Signage
Cougle Commission Co ,345 N Aberdeen,T-052,Kinzie Industrial Corridor,12/26/08,"$4,085.76 ","$2,042.88 ",Electrical
River North Storage ,1722 W Carroll,T-052,Kinzie Industrial Corridor,12/5/08,"$4,700.00 ","$2,350.00 ","masonry repair, roofing repair"
Take the Cake ,1635 W Walnut,T-052,Kinzie Industrial Corridor,11/11/08,"$72,202.00 ","$36,101.00 ","Expansion, walk-in freezer,"
Kenneth Motew,1032 W Fulton Market,T-052,Kinzie Industrial Corridor,11/6/08,"$225,500.00 ","$112,750.00 ","office build-out,"
Scott Wilson Design ,1032 N Fulton Market # 201,T-052,Kinzie Industrial Corridor,10/21/08,"$120,700.00 ","$29,550.00 ","glass walls, light fixtures, plumbing, kitchen island, deck w/built-in lighting and seating, curtains, blinds, speakers"
Ex-Cel Corned Beef Co,1009 W Lake,T-052,Kinzie Industrial Corridor,10/15/08,"$51,089.76 ","$25,544.88 ","Roofing, floors"
Anmar Foods ,2142 W Carroll,T-052,Kinzie Industrial Corridor,8/22/08,"$125,747.00 ","$62,873.50 ",roof
Pet Care Plus Ltd ,1328 W Lake,T-052,Kinzie Industrial Corridor,8/12/08,"$78,466.16 ","$39,233.08 ","façade, windows, doors, awning, floor, electrical, plumbing,"
Chicagoland Beverage,2056 W Walnut,T-052,Kinzie Industrial Corridor,7/17/08,"$84,960.00 ","$44,117.50 ",elevator modernization
Design Integrity Inc ,1155 W Fulton Market,T-052,Kinzie Industrial Corridor,6/24/08,"$100,000.00 ","$50,000.00 ","interior buildout, HVAC, Electrical, windows"
POW! Mixed Martial Arts School Inc,950 W Washington,T-052,Kinzie Industrial Corridor,6/19/08,"$12,377.50 ","$6,188.75 ","Expansion, remodeling offices"
Ex-Cel Corned Beef Co,1009 W Lake,T-052,Kinzie Industrial Corridor,6/4/08,"$22,273.00 ","$11,136.50 ","Doors, windows, wall & ceiling panels"
Damen Lake Property LLC (Standard Equipment Co) ,2033 W Walnut,T-052,Kinzie Industrial Corridor,5/28/08,"$40,407.00 ","$20,352.00 ",Lighting
Albany Steel & Brass,1913 W Grand,T-052,Kinzie Industrial Corridor,5/12/08,"$2,300.00 ",$990.00 ,Tar sealcoating and striping of parking lot
Model Options Grant Urban,344 N Ogden,T-052,Kinzie Industrial Corridor,4/29/08,"$20,195.97 ","$10,097.99 ","Masonry, awning, repaving,"
Wicker Heights Construction Co Inc ,3026 - 30 W Carroll,T-052,Kinzie Industrial Corridor,4/15/08,"$68,965.00 ","$50,000.00 ","façade repair, new doors, water service, tuckpointing, exhaust fan, hvac"
Consolidated Chemical Works ,400 N Ashland,T-052,Kinzie Industrial Corridor,1/30/08,"$85,000.00 ","$42,500.00 ",Insulate Building
Gus Berthold Electric Co ,1900 W Carroll,T-052,Kinzie Industrial Corridor,1/23/08,"$6,620.00 ","$3,310.00 ",Tuckpointing
C&W Building Services Inc,1444 W Lake ,T-052,Kinzie Industrial Corridor,12/10/07,"$53,203.96 ","$26,601.98 ","Roof, Masonry repairs/tuckpointing, sidewalk and curb repair"
POW! Mixed Martial Arts School Inc,950 W Washington,T-052,Kinzie Industrial Corridor,12/5/07,"$86,068.65 ","$43,034.33 ","Expansion, remodeling offices"
John Payne,2746 - 48 W Chicago,T-052,Kinzie Industrial Corridor,10/18/07,"$56,500.00 ","$30,942.13 ",Masonry work / Façade
La Luce ,1393 W Lake,T-052,Kinzie Industrial Corridor,9/6/07,"$250,000.00 ","$50,000.00 ",purchase adjacent property for parking
Vector Custom Fabricating,2128 W Fulton,T-052,Kinzie Industrial Corridor,5/23/07,"$85,000.00 ","$46,750.00 ","install fixed equipment, purchase adjacent lot"
Asset Recovery Services ,1751-59 W Grand,T-052,Kinzie Industrial Corridor,5/23/07,"$223,300.00 ","$50,000.00 ",Total Building Rehab
Vincent Cabinet Service Inc ,1727 W Grand,T-052,Kinzie Industrial Corridor,4/24/07,"$13,594.00 ","$11,635.62 ",replace roof trusses
Bernacki & Associates Inc,424 N Oakley Blvd,T-052,Kinzie Industrial Corridor,4/24/07,"$100,000.00 ","$31,997.50 ","Repair loading dock, replace windows, HVAC, upgrade sprinkler system"
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,T-052,Kinzie Industrial Corridor,4/12/07,"$239,882.80 ","$50,000.00 ","sprinkler system, insulation, roof, interior renovations"
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,T-052,Kinzie Industrial Corridor,3/21/07,"$159,567.20 ","$37,737.00 ","sprinkler system, roof, windows, tuckpointing, parking lot repair"
Ace Styline Furniture,1747 W Carroll,T-052,Kinzie Industrial Corridor,2/27/07,"$115,196.00 ","$50,000.00 ",Repair Façade / Remove-replace signage. Re-roof building
Ace Styline Furniture,1747 W Carroll,T-052,Kinzie Industrial Corridor,2/27/07,"$99,019.00 ","$43,641.03 ","fixed equip., fire doors, sprinkler system"
Osman's Auto Repair,222 N Laflin,T-052,Kinzie Industrial Corridor,2/2/07,"$100,000.00 ","$7,300.00 ",total renovations
Pastorelli Food Products Inc ,162 N Sangamon,T-052,Kinzie Industrial Corridor,1/27/07,"$125,000.00 ","$46,696.96 ","Windows, Tuckpointing, Bathroom renovations, HVAC"
Wielgus Product Models Inc ,1435 W Fulton,T-052,Kinzie Industrial Corridor,1/10/07,"$138,608.35 ","$19,556.50 ","Finish office, windows, tuckpoint, parking lot, roof insulation"
Design Lab Chicago ,328 N Albany,T-052,Kinzie Industrial Corridor,9/13/06,"$34,278.00 ","$18,852.90 ","Install fire doors, emergency exit, sprinkler, roof"
Osman's Auto Repair,222 N Laflin,T-052,Kinzie Industrial Corridor,9/1/06,"$100,000.00 ","$40,660.25 ",total renovations
Lonnie Peterson,1220 W Lake,T-052,Kinzie Industrial Corridor,8/17/06,"$18,280.00 ","$8,198.00 ",roof
Grant Park Packing Co,842 W Lake,T-052,Kinzie Industrial Corridor,6/21/06,"$84,947.67 ","$42,473.84 ",Redoing all floors
Grant Park Packing Co,842 W Lake,T-052,Kinzie Industrial Corridor,6/21/06,"$161,000.00 ","$40,250.00 ",elevator modernization
Scott Spector Chicago Music Garage,347 N Loomis,T-052,Kinzie Industrial Corridor,5/24/06,"$120,000.00 ","$50,000.00 ",Complete Rehab of 347 N. Loomis
La Criolla Inc ,907 W Randolph,T-052,Kinzie Industrial Corridor,5/22/06,"$18,050.00 ","$9,025.00 ","roofing, floors, ceilings"
Wielgus Product Models Inc ,1435 W Fulton,T-052,Kinzie Industrial Corridor,4/12/06,"$138,608.35 ","$30,443.50 ","Finish office, windows, tuckpoint, parking lot, roof insulation"
Tres Jolie Art Inc ,1837 W Grand,T-052,Kinzie Industrial Corridor,3/31/06,"$38,000.00 ","$20,900.00 ",New façade / storefront
Stephen Hamilton,309 N Justine,T-052,Kinzie Industrial Corridor,3/15/06,"$102,000.00 ","$50,000.00 ","Replace roof, security gate, tuckpointing, replace glass block windows"
Mark Larocca,1035 W Lake,T-052,Kinzie Industrial Corridor,3/8/06,"$150,000.00 ","$50,000.00 ",complete renovations
American Soda Fountain Inc,455 N Oakley Blvd,T-052,Kinzie Industrial Corridor,2/10/06,"$11,417.00 ","$5,908.50 ",replace windows
AJC Restoration Inc,228 W Washtenaw,T-052,Kinzie Industrial Corridor,1/4/06,"$72,150.00 ","$36,075.00 ","new roof, replace concrete, renovate walls"
Kenneth Motew,1035 W Lake,T-052,Kinzie Industrial Corridor,12/19/05,"$145,250.00 ","$50,000.00 ",complete rehab
Marv-o-lus Mfg Co ,220 N Washtenaw,T-052,Kinzie Industrial Corridor,12/1/05,"$122,000.00 ","$50,000.00 ","Roof, Masonry repairs, structural repair"
Chicago Spotlight ,1658 W Carroll,T-052,Kinzie Industrial Corridor,10/11/05,"$350,000.00 ","$50,000.00 ","Replace roof, masonary, plumbing, electrical repairs"
Marco Lighting Components Inc ,457 N Leavitt,T-052,Kinzie Industrial Corridor,9/28/05,"$33,847.71 ","$16,734.18 ","replace windows, doors, garage doors, hvac"
Nader Salti,1350 W Randolph,T-052,Kinzie Industrial Corridor,9/15/05,"$38,694.00 ","$19,347.00 ",
IPOL LLC ,1219 W Lake,T-052,Kinzie Industrial Corridor,8/17/05,"$200,000.00 ","$50,000.00 ","purchase adjacent property for parking, iron gate"
Nader Salti,1350 W Randolph,T-052,Kinzie Industrial Corridor,8/4/05,"$61,306.00 ","$30,653.00 ","HVAC, Plumbing, Electrical, Sprinkler, Masonary, Concrete, Elevator, Windows, Façade"
L & P Provisions ,1301 W Lake,T-052,Kinzie Industrial Corridor,7/28/05,"$83,604.00 ","$41,802.00 ",roof
MacDaddy Salon ,1035 W Lake,T-052,Kinzie Industrial Corridor,6/28/05,"$101,842.98 ","$50,000.00 ","plumbing, electrical, floors, walls, HVAC"
1800 W Lake LLC,1800 W Lake,T-052,Kinzie Industrial Corridor,6/13/05,"$105,000.00 ","$50,000.00 ",parking lot paving
Production Craft Inc ,1437 W Grand,T-052,Kinzie Industrial Corridor,4/13/05,"$43,923.16 ","$21,961.58 ",Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building
Capitol Carton Co ,1917 W Walnut,T-052,Kinzie Industrial Corridor,12/21/04,"$60,425.00 ","$30,212.50 ",Roof /
Pastorelli Food Products Inc ,162 N Sangamon,T-052,Kinzie Industrial Corridor,4/15/04,"$234,000.00 ","$50,000.00 ",Loading ramps/ overhead doors/ relocate entrance
Kinzie Industrial Development,2033 W Fulton,T-052,Kinzie Industrial Corridor,2/4/04,"$100,000.00 ","$50,000.00 ",Windows
